candidate_id,start_timestamp,end_timestamp,duration_minutes,regime,detector_version,rarity_rank,status,decision_date,reviewer,reference,notes_path
zv-1362229320-1362233460,1362229320,1362233460,69,liquid,regime-v1,29,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1362285480-1362290040,1362285480,1362290040,76,liquid,regime-v1,24,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1362303480-1362307980,1362303480,1362307980,75,liquid,regime-v1,25,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1362321900-1362326880,1362321900,1362326880,83,liquid,regime-v1,20,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1362340860-1362345960,1362340860,1362345960,85,liquid,regime-v1,17,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1362364740-1362373260,1362364740,1362373260,142,liquid,regime-v1,8,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1362716640-1362720540,1362716640,1362720540,65,liquid,regime-v1,33,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1362971580-1362975360,1362971580,1362975360,63,liquid,regime-v1,34,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1362979440-1362983940,1362979440,1362983940,75,liquid,regime-v1,26,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1363312560-1363317660,1363312560,1363317660,85,liquid,regime-v1,18,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1363319460-1363323240,1363319460,1363323240,63,liquid,regime-v1,35,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1363441440-1363445160,1363441440,1363445160,62,liquid,regime-v1,36,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1363503120-1363507980,1363503120,1363507980,81,liquid,regime-v1,21,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1363588560-1363592520,1363588560,1363592520,66,liquid,regime-v1,32,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1363981440-1363987440,1363981440,1363987440,100,liquid,regime-v1,13,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1365693660-1365698340,1365693660,1365698340,78,liquid,regime-v1,23,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1366624380-1366640580,1366624380,1366640580,270,liquid,regime-v1,3,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1367209740-1367220420,1367209740,1367220420,178,liquid,regime-v1,5,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1376184120-1376189940,1376184120,1376189940,97,liquid,regime-v1,14,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1382857560-1382871660,1382857560,1382871660,235,liquid,regime-v1,4,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1382871720-1382875380,1382871720,1382875380,61,liquid,regime-v1,38,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1390637040-1390642740,1390637040,1390642740,95,liquid,regime-v1,16,reviewed_unconfirmed,2026-08-29,local-investigation,zero_volume>=60m,NOTES.md
zv-1391331660-1391339520,1391331660,1391339520,131,liquid,regime-v1,9,corroborated,2026-08-29,local-investigation,https://blog.bitstamp.net/post/scheduled-downtime/,NOTES.md
zv-1405052160-1405059240,1405052160,1405059240,118,liquid,regime-v1,10,corroborated,2026-08-29,local-investigation,https://blog.bitstamp.net/post/scheduled-downtime-friday-11th-july/,NOTES.md
zv-1420449180-1420837500,1420449180,1420837500,6472,liquid,regime-v1,1,corroborated,2026-08-29,local-investigation,https://www.coindesk.com/markets/2015/01/05/bitstamp-claims-5-million-lost-in-hot-wallet-hack;https://arstechnica.com/information-technology/2015/01/bitstamp-reopens-bitcoin-exchange-adds-security-precautions/,NOTES.md
zv-1564046220-1564050540,1564046220,1564050540,72,liquid,regime-v1,27,corroborated,2026-08-29,local-investigation,https://blog.bitstamp.net/post/scheduled-maintenance-25-july-2019-2/,NOTES.md
zv-1587844680-1587861900,1587844680,1587861900,287,liquid,regime-v1,2,corroborated,2026-08-29,local-investigation,https://blog.bitstamp.net/post/report-downtime-25-april-2020/,NOTES.md
zv-1598436240-1598442720,1598436240,1598442720,108,liquid,regime-v1,12,corroborated,2026-08-29,local-investigation,https://blog.bitstamp.net/post/scheduled-downtime-26-august-10-am-utc/,NOTES.md
zv-1618387320-1618393140,1618387320,1618393140,97,liquid,regime-v1,15,corroborated,2026-08-29,local-investigation,https://blog.bitstamp.net/post/untitled/,NOTES.md
zv-1634716920-1634720640,1634716920,1634720640,62,liquid,regime-v1,37,corroborated,2026-08-29,local-investigation,https://blog.bitstamp.net/post/scheduled-downtime-on-20-october-at-8-am-utc/,NOTES.md
